place=test
year=2009
month=08
25th=81

1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
161	091	072	080	094	118	152	203	262	309	335	330	291	231	163
293	230	145	101	098	111	137	173	226	290	337	362	357	325	284
338	318	268	186	127	114	124	150	185	233	296	346	369	364	338
352	341	319	266	190	134	118	126	152	188	229	282	332	355	352
330	339	333	305	239	164	119	109	120	146	185	221	259	300	325
266	303	320	316	282	205	129	094	094	111	137	174	209	234	262
213	235	273	296	291	251	169	099	076	081	103	128	157	189	208
172	193	214	252	278	270	223	136	074	065	076	096	118	138	163
127	149	178	209	248	274	265	213	119	053	055	072	089	108	120
099	115	137	174	219	262	288	279	227	129	048	042	064	081	096
076	092	111	140	187	241	287	314	308	261	168	072	043	057	073
060	075	094	120	159	214	273	318	343	339	300	223	128	072	065
127	081	086	108	139	185	243	304	346	366	364	331	272	193	126
265	179	114	104	126	160	206	261	319	361	378	373	344	299	240
329	278	203	137	118	138	173	215	260	310	354	371	364	338	301
343	315	260	190	136	121	140	173	211	246	284	324	344	338	315
326	315	288	227	158	117	111	133	164	197	227	251	280	300	297
276	286	278	252	191	126	098	100	122	150	177	202	218	232	246
207	226	242	237	212	153	098	088	095	111	135	154	171	183	187
167	171	187	204	204	179	121	073	079	095	102	119	130	139	147
129	134	146	167	188	193	171	109	053	062	068	091	100	107	110
101	107	113	135	169	198	210	192	129	055	042	067	075	081	087
074	085	098	111	144	190	228	247	235	177	092	046	051	060	068
060	070	082	102	127	170	224	269	294	286	237	158	090	065	064
0256    0330	0402	0449	0021	0120	0326	0522	0640	0753	0036	0108	0144	0220	0254
352	344	333	317	094	111	117	093	073	052	341	362	370	366	353
1057	1128	1204	1247	0546	0745	0930	1045	1143	1220	0840	0920	0955	1024	1046
060	071	086	103	292	275	290	318	347	368	040	037	042	052	064
1458	1534	1615	1704	1354	1555	1728	1902	1955	2036	1255	1328	1403	1432	1459
343	320	290	252	118	117	097	72	052	041	378	377	364	342	315
2310	2328	2336	0	1808	2100	2222	2318	2349	0	2113	2149	2214	2229	2241
058	068	079	0	212	198	229	269	309	0	038	042	049	056	062
